week_ending,slug,page_pv,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status,engaged_sessions
2026-08-02,smart-livestock-farming,110,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,75
2026-08-02,intelligent-video-analytics,103,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,71
2026-08-02,building-energy-management,67,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,37
2026-08-02,indoor-outdoor-positioning,58,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,36
2026-08-02,environment-monitoring,50,1,未接入,未接入,2.0,未接入,GA4部分·CRM未接入,36
2026-08-02,campus-safety-management,48,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,29
2026-08-02,building-energy-retrofit,38,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,30
2026-08-02,hazard-response,37,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,23
2026-07-26,smart-warehouse-management,168,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,95
2026-07-26,voicecollectionanalysis,135,1,未接入,未接入,0.74,未接入,GA4部分·CRM未接入,80
2026-07-26,conversational-voice-ai,124,2,未接入,未接入,1.61,未接入,GA4部分·CRM未接入,93
2026-07-26,smart-livestock-farming,88,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,55
2026-07-26,smart-agriculture-sensing,82,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,56
2026-07-26,environment-monitoring,66,1,未接入,未接入,1.52,未接入,GA4部分·CRM未接入,43
2026-07-26,building-energy-management,58,1,未接入,未接入,1.72,未接入,GA4部分·CRM未接入,43
2026-07-26,intelligent-video-analytics,51,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,35
2026-07-26,indoor-outdoor-positioning,46,1,未接入,未接入,2.17,未接入,GA4部分·CRM未接入,42
2026-07-26,hazard-response,46,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,33
2026-07-26,campus-safety-management,42,1,未接入,未接入,2.38,未接入,GA4部分·CRM未接入,32
2026-07-26,building-energy-retrofit,30,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,25
2026-07-19,voicecollectionanalysis,143,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,83
2026-07-19,conversational-voice-ai,115,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,91
2026-07-19,smart-warehouse-management,94,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,61
2026-07-19,smart-agriculture-sensing,74,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,60
2026-07-19,intelligent-video-analytics,72,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,57
2026-07-19,smart-livestock-farming,61,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,37
2026-07-19,indoor-outdoor-positioning,61,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,40
2026-07-19,environment-monitoring,46,1,未接入,未接入,2.17,未接入,GA4部分·CRM未接入,31
2026-07-19,building-energy-management,42,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,33
2026-07-19,building-energy-retrofit,41,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,30
2026-07-19,campus-safety-management,31,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,26
2026-07-19,hazard-response,26,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,20
