week_ending,slug,page_pv,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status,engaged_sessions
2026-08-02,smart-agriculture-sensing,75,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,55
2026-08-02,indoor-outdoor-positioning,58,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,37
2026-08-02,environment-monitoring,50,1,未接入,未接入,2.0,未接入,GA4部分·CRM未接入,40
2026-08-02,building-energy-management,48,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,39
2026-08-02,campus-safety-management,43,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,29
2026-08-02,building-energy-retrofit,36,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,30
2026-08-02,hazard-response,32,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,23
2026-07-26,smart-warehouse-management,128,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,71
2026-07-26,voicecollectionanalysis,62,1,未接入,未接入,1.61,未接入,GA4部分·CRM未接入,48
2026-07-26,conversational-voice-ai,60,1,未接入,未接入,1.67,未接入,GA4部分·CRM未接入,48
2026-07-26,smart-agriculture-sensing,49,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,36
2026-07-26,smart-livestock-farming,49,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,41
2026-07-26,building-energy-management,32,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,29
2026-07-26,hazard-response,28,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,21
2026-07-26,environment-monitoring,22,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,17
2026-07-26,indoor-outdoor-positioning,19,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,18
2026-07-26,intelligent-video-analytics,18,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,17
2026-07-26,campus-safety-management,18,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,12
2026-07-26,building-energy-retrofit,16,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,15
