周次,方案名称,落地访问量,独立访客数,session,平均停留时长(秒),参与率,主要流量来源,CTA点击量,表单提交,event,数据状态,周环比(%)
2026-08-09,conversational-voice-ai,20,17,21,28.8,0.9524,Unassigned,未接入,未接入,0,GA4已接入,-86.0
2026-06-28,environment-monitoring,39,34,38,36.3,0.7105,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,environment-monitoring,37,37,46,45.0,0.7391,Direct,未接入,未接入,0,GA4已接入,-5.1
2026-07-12,environment-monitoring,36,34,39,45.1,0.7949,Direct,未接入,未接入,0,GA4已接入,-2.7
2026-07-19,environment-monitoring,46,44,49,41.1,0.6327,Direct,未接入,未接入,1,GA4已接入,27.8
2026-07-26,environment-monitoring,49,46,54,41.1,0.6852,Direct,未接入,未接入,1,GA4已接入,6.5
2026-08-02,environment-monitoring,50,48,55,42.0,0.7273,Direct,未接入,未接入,1,GA4已接入,2.0
2026-08-09,environment-monitoring,8,7,10,39.0,0.5,Direct,未接入,未接入,0,GA4已接入,-84.0
2026-06-28,hazard-response,24,20,25,32.6,0.84,Referral,未接入,未接入,0,GA4已接入,
2026-07-05,hazard-response,48,45,54,29.9,0.6482,Direct,未接入,未接入,0,GA4已接入,100.0
2026-07-12,hazard-response,27,29,31,13.3,0.6774,Direct,未接入,未接入,0,GA4已接入,-43.8
2026-07-19,hazard-response,24,22,22,27.2,0.8636,Referral,未接入,未接入,0,GA4已接入,-11.1
2026-07-26,hazard-response,44,35,40,30.2,0.825,Direct,未接入,未接入,0,GA4已接入,83.3
2026-08-02,hazard-response,32,29,35,17.4,0.6571,Direct,未接入,未接入,0,GA4已接入,-27.3
2026-08-09,hazard-response,10,10,10,64.1,0.9,Direct,未接入,未接入,0,GA4已接入,-68.8
2026-06-28,indoor-outdoor-positioning,83,71,87,24.2,0.4942,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,indoor-outdoor-positioning,42,42,53,27.2,0.6604,Direct,未接入,未接入,0,GA4已接入,-49.4
2026-07-12,indoor-outdoor-positioning,41,35,39,48.1,0.6923,Direct,未接入,未接入,1,GA4已接入,-2.4
2026-07-19,indoor-outdoor-positioning,61,54,66,33.4,0.6364,Direct,未接入,未接入,0,GA4已接入,48.8
2026-07-26,indoor-outdoor-positioning,45,43,51,64.5,0.8039,Direct,未接入,未接入,1,GA4已接入,-26.2
2026-08-02,indoor-outdoor-positioning,58,49,61,29.0,0.6066,Direct,未接入,未接入,0,GA4已接入,28.9
2026-08-09,indoor-outdoor-positioning,11,12,13,18.0,0.5385,Direct,未接入,未接入,0,GA4已接入,-81.0
2026-06-28,intelligent-video-analytics,74,66,73,39.2,0.6301,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,intelligent-video-analytics,59,57,69,27.5,0.6812,Direct,未接入,未接入,0,GA4已接入,-20.3
2026-07-12,intelligent-video-analytics,43,38,42,38.4,0.6667,Direct,未接入,未接入,0,GA4已接入,-27.1
2026-07-19,intelligent-video-analytics,71,68,74,30.5,0.7703,Direct,未接入,未接入,0,GA4已接入,65.1
2026-07-26,intelligent-video-analytics,49,45,58,32.3,0.6035,Direct,未接入,未接入,0,GA4已接入,-31.0
2026-08-02,intelligent-video-analytics,99,79,100,35.2,0.69,Direct,未接入,未接入,0,GA4已接入,102.0
2026-08-09,intelligent-video-analytics,30,25,28,28.5,0.6429,Direct,未接入,未接入,0,GA4已接入,-69.7
2026-06-28,smart-agriculture-sensing,71,60,69,34.3,0.8551,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,smart-agriculture-sensing,88,70,79,56.4,0.7342,Direct,未接入,未接入,0,GA4已接入,23.9
2026-07-12,smart-agriculture-sensing,82,77,87,67.9,0.8046,Direct,未接入,未接入,0,GA4已接入,-6.8
2026-07-19,smart-agriculture-sensing,71,63,74,45.1,0.8243,Direct,未接入,未接入,0,GA4已接入,-13.4
2026-07-26,smart-agriculture-sensing,76,63,69,27.4,0.8116,Direct,未接入,未接入,0,GA4已接入,7.0
2026-08-02,smart-agriculture-sensing,75,57,66,38.9,0.8333,Direct,未接入,未接入,0,GA4已接入,-1.3
2026-08-09,smart-agriculture-sensing,19,19,19,29.5,0.9474,Direct,未接入,未接入,0,GA4已接入,-74.7
2026-06-28,smart-livestock-farming,42,30,44,29.8,0.6364,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,smart-livestock-farming,50,39,54,21.0,0.6111,Direct,未接入,未接入,0,GA4已接入,19.0
2026-07-12,smart-livestock-farming,73,60,72,30.5,0.75,Direct,未接入,未接入,0,GA4已接入,46.0
2026-07-19,smart-livestock-farming,50,40,48,30.4,0.75,Direct,未接入,未接入,0,GA4已接入,-31.5
2026-07-26,smart-livestock-farming,66,55,66,36.2,0.8182,Direct,未接入,未接入,0,GA4已接入,32.0
2026-08-02,smart-livestock-farming,96,75,99,33.7,0.7677,Direct,未接入,未接入,0,GA4已接入,45.5
2026-08-09,smart-livestock-farming,22,16,19,18.1,0.6316,Direct,未接入,未接入,0,GA4已接入,-77.1
2026-06-28,smart-warehouse-management,53,39,47,32.1,0.5957,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,smart-warehouse-management,53,56,60,38.1,0.75,Direct,未接入,未接入,0,GA4已接入,0.0
2026-07-12,smart-warehouse-management,140,92,122,73.9,0.6721,Direct,未接入,未接入,0,GA4已接入,164.2
2026-07-19,smart-warehouse-management,93,63,88,70.2,0.6818,Direct,未接入,未接入,0,GA4已接入,-33.6
2026-07-26,smart-warehouse-management,161,136,157,32.7,0.6115,Organic Social,未接入,未接入,0,GA4已接入,73.1
2026-08-02,smart-warehouse-management,328,263,332,26.9,0.5391,Organic Social,未接入,未接入,0,GA4已接入,103.7
2026-08-09,smart-warehouse-management,10,9,12,13.1,0.5833,Direct,未接入,未接入,0,GA4已接入,-97.0
2026-06-28,voicecollectionanalysis,151,120,157,28.4,0.6561,Unassigned,未接入,未接入,0,GA4已接入,
2026-07-05,voicecollectionanalysis,172,150,181,26.6,0.6464,Unassigned,未接入,未接入,2,GA4已接入,13.9
2026-07-12,voicecollectionanalysis,165,131,173,35.0,0.6416,Unassigned,未接入,未接入,0,GA4已接入,-4.1
2026-07-19,voicecollectionanalysis,123,113,134,34.4,0.6045,Unassigned,未接入,未接入,0,GA4已接入,-25.5
2026-07-26,voicecollectionanalysis,123,109,137,33.6,0.5985,Unassigned,未接入,未接入,1,GA4已接入,0.0
2026-08-02,voicecollectionanalysis,142,114,142,34.0,0.7394,Unassigned,未接入,未接入,0,GA4已接入,15.4
2026-08-09,voicecollectionanalysis,19,18,20,27.6,0.7,Direct,未接入,未接入,0,GA4已接入,-86.6
