week_ending,slug,page_pv,sessions,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status
2026-09-13,building-energy-retrofit,22,23,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-09-13,hazard-response,17,19,3,0,未接入,17.65,未接入,GA4+LeadApi已接入
2026-09-06,conversational-voice-ai,208,211,33,0,未接入,15.87,未接入,GA4+LeadApi已接入
2026-09-06,voicecollectionanalysis,197,189,12,1,未接入,6.09,未接入,GA4+LeadApi已接入
2026-09-06,intelligent-video-analytics,133,100,10,1,未接入,7.52,未接入,GA4+LeadApi已接入
2026-09-06,smart-livestock-farming,118,107,9,0,未接入,7.63,未接入,GA4+LeadApi已接入
2026-09-06,smart-agriculture-sensing,112,118,16,0,未接入,14.29,未接入,GA4+LeadApi已接入
2026-09-06,smart-warehouse-management,86,76,10,1,未接入,11.63,未接入,GA4+LeadApi已接入
2026-09-06,environment-monitoring,65,65,7,1,未接入,10.77,未接入,GA4+LeadApi已接入
2026-09-06,building-energy-management,50,53,1,0,未接入,2.0,未接入,GA4+LeadApi已接入
2026-09-06,hazard-response,46,46,12,0,未接入,26.09,未接入,GA4+LeadApi已接入
2026-09-06,building-energy-retrofit,45,39,2,0,未接入,4.44,未接入,GA4+LeadApi已接入
2026-09-06,indoor-outdoor-positioning,44,48,6,0,未接入,13.64,未接入,GA4+LeadApi已接入
2026-09-06,campus-safety-management,39,38,8,0,未接入,20.51,未接入,GA4+LeadApi已接入
2026-08-30,voicecollectionanalysis,188,198,13,0,未接入,6.91,未接入,GA4+LeadApi已接入
2026-08-30,intelligent-video-analytics,137,130,14,0,未接入,10.22,未接入,GA4+LeadApi已接入
2026-08-30,conversational-voice-ai,106,115,14,0,未接入,13.21,未接入,GA4+LeadApi已接入
2026-08-30,smart-agriculture-sensing,97,88,11,0,未接入,11.34,未接入,GA4+LeadApi已接入
2026-08-30,smart-warehouse-management,85,88,17,0,未接入,20.0,未接入,GA4+LeadApi已接入
2026-08-30,smart-livestock-farming,75,78,9,0,未接入,12.0,未接入,GA4+LeadApi已接入
2026-08-30,building-energy-management,55,54,6,0,未接入,10.91,未接入,GA4+LeadApi已接入
2026-08-30,environment-monitoring,47,49,2,0,未接入,4.26,未接入,GA4+LeadApi已接入
2026-08-30,indoor-outdoor-positioning,40,44,2,0,未接入,5.0,未接入,GA4+LeadApi已接入
2026-08-30,hazard-response,39,37,9,0,未接入,23.08,未接入,GA4+LeadApi已接入
2026-08-30,campus-safety-management,33,35,2,0,未接入,6.06,未接入,GA4+LeadApi已接入
2026-08-30,building-energy-retrofit,32,30,3,0,未接入,9.38,未接入,GA4+LeadApi已接入
2026-08-23,conversational-voice-ai,171,167,20,0,未接入,11.7,未接入,GA4+LeadApi已接入
2026-08-23,voicecollectionanalysis,125,130,9,0,未接入,7.2,未接入,GA4+LeadApi已接入
2026-08-23,smart-livestock-farming,95,86,6,0,未接入,6.32,未接入,GA4+LeadApi已接入
2026-08-23,smart-agriculture-sensing,86,90,14,1,未接入,16.28,未接入,GA4+LeadApi已接入
2026-08-23,intelligent-video-analytics,85,83,8,0,未接入,9.41,未接入,GA4+LeadApi已接入
2026-08-23,building-energy-management,53,57,8,1,未接入,15.09,未接入,GA4+LeadApi已接入
2026-08-23,indoor-outdoor-positioning,52,52,2,0,未接入,3.85,未接入,GA4+LeadApi已接入
2026-08-23,smart-warehouse-management,50,53,8,1,未接入,16.0,未接入,GA4+LeadApi已接入
2026-08-23,building-energy-retrofit,45,47,1,0,未接入,2.22,未接入,GA4+LeadApi已接入
2026-08-23,hazard-response,44,39,4,0,未接入,9.09,未接入,GA4+LeadApi已接入
2026-08-23,campus-safety-management,42,43,4,1,未接入,9.52,未接入,GA4+LeadApi已接入
2026-08-23,environment-monitoring,35,36,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-08-16,intelligent-video-analytics,154,141,29,1,未接入,18.83,未接入,GA4+LeadApi已接入
2026-08-16,voicecollectionanalysis,146,153,15,1,未接入,10.27,未接入,GA4+LeadApi已接入
2026-08-16,smart-agriculture-sensing,125,121,8,0,未接入,6.4,未接入,GA4+LeadApi已接入
2026-08-16,conversational-voice-ai,118,106,8,0,未接入,6.78,未接入,GA4+LeadApi已接入
2026-08-16,indoor-outdoor-positioning,96,95,11,0,未接入,11.46,未接入,GA4+LeadApi已接入
2026-08-16,smart-livestock-farming,82,74,5,0,未接入,6.1,未接入,GA4+LeadApi已接入
2026-08-16,smart-warehouse-management,63,75,7,0,未接入,11.11,未接入,GA4+LeadApi已接入
2026-08-16,environment-monitoring,45,47,5,2,未接入,11.11,未接入,GA4+LeadApi已接入
2026-08-16,building-energy-management,41,42,3,0,未接入,7.32,未接入,GA4+LeadApi已接入
2026-08-16,building-energy-retrofit,39,36,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-08-16,campus-safety-management,37,32,2,0,未接入,5.41,未接入,GA4+LeadApi已接入
2026-08-16,hazard-response,25,26,10,0,未接入,40.0,未接入,GA4+LeadApi已接入
2026-08-09,voicecollectionanalysis,141,155,13,0,未接入,9.22,未接入,GA4+LeadApi已接入
2026-08-09,intelligent-video-analytics,135,136,18,0,未接入,13.33,未接入,GA4+LeadApi已接入
2026-08-09,conversational-voice-ai,133,144,10,0,未接入,7.52,未接入,GA4+LeadApi已接入
2026-08-09,smart-agriculture-sensing,127,137,11,0,未接入,8.66,未接入,GA4+LeadApi已接入
2026-08-09,smart-livestock-farming,111,100,16,0,未接入,14.41,未接入,GA4+LeadApi已接入
2026-08-09,smart-warehouse-management,82,92,5,0,未接入,6.1,未接入,GA4+LeadApi已接入
2026-08-09,building-energy-retrofit,69,65,9,0,未接入,13.04,未接入,GA4+LeadApi已接入
2026-08-09,hazard-response,58,58,10,0,未接入,17.24,未接入,GA4+LeadApi已接入
2026-08-09,environment-monitoring,56,60,4,0,未接入,7.14,未接入,GA4+LeadApi已接入
2026-08-09,campus-safety-management,56,50,3,0,未接入,5.36,未接入,GA4+LeadApi已接入
2026-08-09,indoor-outdoor-positioning,40,45,6,0,未接入,15.0,未接入,GA4+LeadApi已接入
2026-08-09,building-energy-management,38,38,8,0,未接入,21.05,未接入,GA4+LeadApi已接入
2026-08-02,smart-warehouse-management,332,329,25,0,未接入,7.53,未接入,GA4+LeadApi已接入
2026-08-02,voicecollectionanalysis,150,151,17,0,未接入,11.33,未接入,GA4+LeadApi已接入
2026-08-02,conversational-voice-ai,147,148,14,0,未接入,9.52,未接入,GA4+LeadApi已接入
2026-08-02,smart-agriculture-sensing,119,112,2,0,未接入,1.68,未接入,GA4+LeadApi已接入
2026-08-02,smart-livestock-farming,110,108,2,0,未接入,1.82,未接入,GA4+LeadApi已接入
2026-08-02,intelligent-video-analytics,103,102,16,0,未接入,15.53,未接入,GA4+LeadApi已接入
2026-08-02,building-energy-management,67,62,6,0,未接入,8.96,未接入,GA4+LeadApi已接入
2026-08-02,indoor-outdoor-positioning,58,60,1,0,未接入,1.72,未接入,GA4+LeadApi已接入
2026-08-02,environment-monitoring,50,52,4,1,未接入,8.0,未接入,GA4+LeadApi已接入
2026-08-02,campus-safety-management,48,43,2,0,未接入,4.17,未接入,GA4+LeadApi已接入
2026-08-02,building-energy-retrofit,38,44,2,0,未接入,5.26,未接入,GA4+LeadApi已接入
2026-08-02,hazard-response,37,41,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-07-26,smart-warehouse-management,168,157,16,0,未接入,9.52,未接入,GA4+LeadApi已接入
2026-07-26,voicecollectionanalysis,135,146,16,1,未接入,11.85,未接入,GA4+LeadApi已接入
2026-07-26,conversational-voice-ai,124,133,12,3,未接入,9.68,未接入,GA4+LeadApi已接入
2026-07-26,smart-livestock-farming,88,75,8,0,未接入,9.09,未接入,GA4+LeadApi已接入
2026-07-26,smart-agriculture-sensing,82,74,5,0,未接入,6.1,未接入,GA4+LeadApi已接入
2026-07-26,environment-monitoring,66,63,2,1,未接入,3.03,未接入,GA4+LeadApi已接入
2026-07-26,building-energy-management,58,58,7,1,未接入,12.07,未接入,GA4+LeadApi已接入
2026-07-26,intelligent-video-analytics,51,59,3,0,未接入,5.88,未接入,GA4+LeadApi已接入
2026-07-26,indoor-outdoor-positioning,46,52,13,1,未接入,28.26,未接入,GA4+LeadApi已接入
2026-07-26,hazard-response,46,41,1,0,未接入,2.17,未接入,GA4+LeadApi已接入
2026-07-26,campus-safety-management,42,39,4,1,未接入,9.52,未接入,GA4+LeadApi已接入
2026-07-26,building-energy-retrofit,30,31,2,0,未接入,6.67,未接入,GA4+LeadApi已接入
2026-07-19,voicecollectionanalysis,143,151,10,0,未接入,6.99,未接入,GA4+LeadApi已接入
2026-07-19,conversational-voice-ai,115,129,7,0,未接入,6.09,未接入,GA4+LeadApi已接入
2026-07-19,smart-warehouse-management,94,89,4,0,未接入,4.26,未接入,GA4+LeadApi已接入
2026-07-19,smart-agriculture-sensing,74,76,16,0,未接入,21.62,未接入,GA4+LeadApi已接入
2026-07-19,intelligent-video-analytics,72,76,15,0,未接入,20.83,未接入,GA4+LeadApi已接入
2026-07-19,smart-livestock-farming,61,59,3,0,未接入,4.92,未接入,GA4+LeadApi已接入
2026-07-19,indoor-outdoor-positioning,61,64,3,0,未接入,4.92,未接入,GA4+LeadApi已接入
2026-07-19,environment-monitoring,46,49,2,1,未接入,4.35,未接入,GA4+LeadApi已接入
2026-07-19,building-energy-management,42,42,1,0,未接入,2.38,未接入,GA4+LeadApi已接入
2026-07-19,building-energy-retrofit,41,44,1,0,未接入,2.44,未接入,GA4+LeadApi已接入
2026-07-19,campus-safety-management,31,32,4,0,未接入,12.9,未接入,GA4+LeadApi已接入
2026-07-19,hazard-response,26,24,3,0,未接入,11.54,未接入,GA4+LeadApi已接入
2026-07-12,voicecollectionanalysis,179,183,14,0,未接入,7.82,未接入,GA4+LeadApi已接入
2026-07-12,smart-warehouse-management,140,117,32,0,未接入,22.86,未接入,GA4+LeadApi已接入
2026-07-12,conversational-voice-ai,105,103,12,1,未接入,11.43,未接入,GA4+LeadApi已接入
2026-07-12,smart-agriculture-sensing,84,87,18,0,未接入,21.43,未接入,GA4+LeadApi已接入
2026-07-12,smart-livestock-farming,83,78,7,0,未接入,8.43,未接入,GA4+LeadApi已接入
2026-07-12,intelligent-video-analytics,43,42,6,0,未接入,13.95,未接入,GA4+LeadApi已接入
2026-07-12,indoor-outdoor-positioning,41,39,2,1,未接入,4.88,未接入,GA4+LeadApi已接入
2026-07-12,building-energy-management,39,40,1,0,未接入,2.56,未接入,GA4+LeadApi已接入
2026-07-12,environment-monitoring,36,37,3,0,未接入,8.33,未接入,GA4+LeadApi已接入
2026-07-12,campus-safety-management,32,35,4,0,未接入,12.5,未接入,GA4+LeadApi已接入
2026-07-12,hazard-response,28,30,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-07-12,building-energy-retrofit,21,23,2,0,未接入,9.52,未接入,GA4+LeadApi已接入
2026-07-05,voicecollectionanalysis,192,194,4,2,未接入,2.08,未接入,GA4+LeadApi已接入
2026-07-05,conversational-voice-ai,105,100,12,3,未接入,11.43,未接入,GA4+LeadApi已接入
2026-07-05,smart-agriculture-sensing,92,83,6,0,未接入,6.52,未接入,GA4+LeadApi已接入
2026-07-05,smart-livestock-farming,64,70,7,0,未接入,10.94,未接入,GA4+LeadApi已接入
2026-07-05,intelligent-video-analytics,60,67,7,0,未接入,11.67,未接入,GA4+LeadApi已接入
2026-07-05,smart-warehouse-management,53,57,10,1,未接入,18.87,未接入,GA4+LeadApi已接入
2026-07-05,hazard-response,51,56,4,0,未接入,7.84,未接入,GA4+LeadApi已接入
2026-07-05,indoor-outdoor-positioning,43,52,3,0,未接入,6.98,未接入,GA4+LeadApi已接入
2026-07-05,building-energy-management,43,43,3,0,未接入,6.98,未接入,GA4+LeadApi已接入
2026-07-05,environment-monitoring,37,44,3,0,未接入,8.11,未接入,GA4+LeadApi已接入
2026-07-05,building-energy-retrofit,36,37,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-07-05,campus-safety-management,35,33,2,0,未接入,5.71,未接入,GA4+LeadApi已接入
2026-06-28,voicecollectionanalysis,201,198,19,0,未接入,9.45,未接入,GA4+LeadApi已接入
2026-06-28,conversational-voice-ai,116,126,18,2,未接入,15.52,未接入,GA4+LeadApi已接入
2026-06-28,intelligent-video-analytics,95,89,9,0,未接入,9.47,未接入,GA4+LeadApi已接入
2026-06-28,smart-agriculture-sensing,91,86,8,0,未接入,8.79,未接入,GA4+LeadApi已接入
2026-06-28,indoor-outdoor-positioning,86,90,3,0,未接入,3.49,未接入,GA4+LeadApi已接入
2026-06-28,smart-warehouse-management,64,58,8,0,未接入,12.5,未接入,GA4+LeadApi已接入
2026-06-28,smart-livestock-farming,56,57,4,0,未接入,7.14,未接入,GA4+LeadApi已接入
2026-06-28,environment-monitoring,48,48,3,0,未接入,6.25,未接入,GA4+LeadApi已接入
2026-06-28,building-energy-retrofit,38,37,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-06-28,campus-safety-management,32,34,1,0,未接入,3.12,未接入,GA4+LeadApi已接入
2026-06-28,building-energy-management,29,29,2,0,未接入,6.9,未接入,GA4+LeadApi已接入
2026-06-28,hazard-response,26,26,1,0,未接入,3.85,未接入,GA4+LeadApi已接入
2026-06-21,voicecollectionanalysis,103,89,3,1,未接入,2.91,未接入,GA4+LeadApi已接入
2026-06-21,smart-agriculture-sensing,82,86,6,0,未接入,7.32,未接入,GA4+LeadApi已接入
2026-06-21,conversational-voice-ai,81,80,11,1,未接入,13.58,未接入,GA4+LeadApi已接入
2026-06-21,smart-warehouse-management,59,59,5,0,未接入,8.47,未接入,GA4+LeadApi已接入
2026-06-21,smart-livestock-farming,56,57,4,0,未接入,7.14,未接入,GA4+LeadApi已接入
2026-06-21,intelligent-video-analytics,54,54,5,0,未接入,9.26,未接入,GA4+LeadApi已接入
2026-06-21,campus-safety-management,39,36,6,0,未接入,15.38,未接入,GA4+LeadApi已接入
2026-06-21,indoor-outdoor-positioning,37,37,5,0,未接入,13.51,未接入,GA4+LeadApi已接入
2026-06-21,building-energy-management,35,35,1,0,未接入,2.86,未接入,GA4+LeadApi已接入
2026-06-21,environment-monitoring,34,32,3,0,未接入,8.82,未接入,GA4+LeadApi已接入
2026-06-21,hazard-response,32,36,1,0,未接入,3.12,未接入,GA4+LeadApi已接入
2026-06-21,building-energy-retrofit,30,34,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-06-14,conversational-voice-ai,114,119,20,2,未接入,17.54,未接入,GA4+LeadApi已接入
2026-06-14,voicecollectionanalysis,113,114,9,1,未接入,7.96,未接入,GA4+LeadApi已接入
2026-06-14,smart-agriculture-sensing,75,70,11,0,未接入,14.67,未接入,GA4+LeadApi已接入
2026-06-14,smart-livestock-farming,56,59,1,0,未接入,1.79,未接入,GA4+LeadApi已接入
2026-06-14,intelligent-video-analytics,56,60,5,0,未接入,8.93,未接入,GA4+LeadApi已接入
2026-06-14,smart-warehouse-management,54,59,20,0,未接入,37.04,未接入,GA4+LeadApi已接入
2026-06-14,environment-monitoring,50,53,5,0,未接入,10.0,未接入,GA4+LeadApi已接入
2026-06-14,building-energy-retrofit,47,56,1,0,未接入,2.13,未接入,GA4+LeadApi已接入
2026-06-14,indoor-outdoor-positioning,40,41,5,1,未接入,12.5,未接入,GA4+LeadApi已接入
2026-06-14,hazard-response,34,38,4,0,未接入,11.76,未接入,GA4+LeadApi已接入
2026-06-14,campus-safety-management,33,34,7,0,未接入,21.21,未接入,GA4+LeadApi已接入
2026-06-14,building-energy-management,31,31,1,0,未接入,3.23,未接入,GA4+LeadApi已接入
2026-06-07,conversational-voice-ai,119,125,10,0,未接入,8.4,未接入,GA4+LeadApi已接入
2026-06-07,voicecollectionanalysis,107,104,16,1,未接入,14.95,未接入,GA4+LeadApi已接入
2026-06-07,smart-agriculture-sensing,84,75,5,0,未接入,5.95,未接入,GA4+LeadApi已接入
2026-06-07,building-energy-retrofit,63,55,18,0,未接入,28.57,未接入,GA4+LeadApi已接入
2026-06-07,indoor-outdoor-positioning,62,61,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-06-07,environment-monitoring,59,54,9,0,未接入,15.25,未接入,GA4+LeadApi已接入
2026-06-07,smart-warehouse-management,53,45,2,0,未接入,3.77,未接入,GA4+LeadApi已接入
2026-06-07,smart-livestock-farming,50,43,3,0,未接入,6.0,未接入,GA4+LeadApi已接入
2026-06-07,intelligent-video-analytics,44,49,9,0,未接入,20.45,未接入,GA4+LeadApi已接入
2026-06-07,building-energy-management,44,49,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-06-07,hazard-response,35,35,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-06-07,campus-safety-management,31,33,5,0,未接入,16.13,未接入,GA4+LeadApi已接入
