最新周次,周范围,数据覆盖,solution名称,solution路径,页面访问量,CTA,表单提交(leads),一键加购,销售跟进数,页面->CTA转化率,CTA->表单转化率,访问层_page_view,滚动层_scroll,互动层_user_engagement,关键事件_keyEvents,GA会话数,滚动率_scroll/page_view,互动率_user_engagement/page_view,关键事件转化率_keyEvents/page_view,会话关键事件率_keyEvents/session_start,GA已接入漏斗事件,缺失埋点说明,数据状态
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,室内外定位,/solutions/indoor-outdoor-positioning,362,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,362,0,0,0,175,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,对话式语音 AI,/solutions/conversational-voice-ai,4927,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,4927,0,0,128,1945,0.00%,0.00%,2.60%,6.58%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,环境监测,/solutions/environment-monitoring,50,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,50,0,0,0,33,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,楼宇能源改造,/solutions/building-energy-retrofit,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,智能畜牧养殖,/solutions/smart-livestock-farming,6,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,6,0,0,0,1,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,智慧农业传感,/solutions/smart-agriculture-sensing,7,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,7,0,0,0,2,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,校园安全管理,/solutions/campus-safety-management,17,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,17,0,0,0,3,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,应急响应,/solutions/hazard-response,25,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,25,0,0,0,8,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,楼宇能源管理,/solutions/building-energy-management,15,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,15,0,0,0,8,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,语音采集与分析,/solutions/voicecollectionanalysis,4078,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,4078,0,0,61,1619,0.00%,0.00%,1.50%,3.77%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,智能仓储管理,/solutions/smart-warehouse-management,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,智能视频分析,/solutions/intelligent-video-analytics,36,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,36,0,0,0,19,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,室内外定位,/solutions/indoor-outdoor-positioning,378,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,378,0,0,0,183,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,对话式语音 AI,/solutions/conversational-voice-ai,5080,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,5080,0,0,107,2005,0.00%,0.00%,2.11%,5.34%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,环境监测,/solutions/environment-monitoring,74,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,74,0,0,1,39,0.00%,0.00%,1.35%,2.56%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,楼宇能源改造,/solutions/building-energy-retrofit,9,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,9,0,0,0,3,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,智能畜牧养殖,/solutions/smart-livestock-farming,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,智慧农业传感,/solutions/smart-agriculture-sensing,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,校园安全管理,/solutions/campus-safety-management,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,应急响应,/solutions/hazard-response,9,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,9,0,0,0,2,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13 至 2026-07-19,楼宇能源管理,/solutions/building-energy-management,9,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,9,0,0,0,3,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,语音采集与分析,/solutions/voicecollectionanalysis,3696,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,3696,0,0,58,1437,0.00%,0.00%,1.57%,4.04%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,智能仓储管理,/solutions/smart-warehouse-management,6,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,6,3,1,0,1,50.00%,16.67%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,有GA事件数据
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,智能视频分析,/solutions/intelligent-video-analytics,20,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,19,5,5,0,6,26.32%,26.32%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,有GA事件数据
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,室内外定位,/solutions/indoor-outdoor-positioning,361,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,361,0,0,1,158,0.00%,0.00%,0.28%,0.63%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,对话式语音 AI,/solutions/conversational-voice-ai,4164,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,4164,0,0,109,1591,0.00%,0.00%,2.62%,6.85%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,环境监测,/solutions/environment-monitoring,64,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,64,0,0,0,36,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,楼宇能源改造,/solutions/building-energy-retrofit,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,智能畜牧养殖,/solutions/smart-livestock-farming,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,智慧农业传感,/solutions/smart-agriculture-sensing,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,校园安全管理,/solutions/campus-safety-management,9,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,9,0,0,0,2,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,应急响应,/solutions/hazard-response,18,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,18,0,0,0,7,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20 至 2026-07-26,楼宇能源管理,/solutions/building-energy-management,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
